Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
wb104,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0920/9480/products/0d53c3c8d36603d5ed2621a5d8a5ba6a.png?v=1437697637,,,,,,,,,,,,,,,,,,,
wb103,WB103,"<p>Simple bunch consists of only 20 stalk of Roses.</p>
<p>[Light pink as shown] Other color of roses are available i.e. Red, White, hot pink</p>",Warm Wishes Florist ,Bridal Bouquet,RM100-RM199,true,Color,Light Pink rose,,,,,"",0,,1,deny,manual,140.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/10885023_1516219815334076_506009237158943172_n_84e10101-0f77-4c74-bdf3-12aabafb7e09.jpg?v=1437301042,,false,,,,,,,,,,,,,,,,,kg
wb103,,,,,,,,Red rose,,,,,"",0,,1,deny,manual,140.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg
wb103,,,,,,,,White rose,,,,,"",0,,1,deny,manual,140.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg
wb103,,,,,,,,Hot pink rose,,,,,"",0,,1,deny,manual,140.00,,true,true,"",,,,,,,,,,,,,,,,,,,,kg
wb102,WB102,"<span>This Bridal hand bouquet is consists of 15 stalks of pink roses, 1 stalk of white Hydrangea and drizzled with baby's breath.</span>",Warm Wishes Florist ,Bridal Bouquet,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,180.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/10690201_1537491616540229_7774607830400374630_n.jpg?v=1437217327,,false,,,,,,,,,,,,,,,,,kg
wb101,WB101,"<p><span>This Bridal hand bouquet is composed from 3 stalks of pink Peonies and 1 stalk of white Hydrangea.</span></p>
<p><span>[Seasonal]</span></p>",Warm Wishes Florist ,Bridal Bouquet,RM200-RM299,true,Title,Default Title,,,,,"",0,,1,deny,manual,220.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/10675628_1510451605910897_1084639449874111149_n.jpg?v=1437205676,,false,,,,,,,,,,,,,,,,,kg
wb100,WB100,"<p>Pastel round bridal bouquet twisted with delicate blue hydrangeas, creamy white and light pink roses.</p>
<p>[1 Hydrangea, 15 stalks of roses]</p>",Warm Wishes Florist ,Bridal Bouquet,RM100-RM199,true,Title,Default Title,,,,,"",0,,1,deny,manual,180.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/10404418_1593251207630936_8799312946053112652_n.jpg?v=1437205608,,false,,,,,,,,,,,,,,,,,kg
tf103,BB101,"<p>Lift up the box cover with a lovely Hello Kitty surprise! It'll definitely put a wide smile on her face! Hello Kitty made up with white carnations and surrounded buy pinkish Roses and Eustomas.</p>
<meta charset=""utf-8"">
<p> </p>
<p><span>One Size</span></p>
<p><span>[As Shown] Box size diameter 70cm, height 40cm</span></p>",Warm Wishes Florist ,Surprise Bloom Box,RM300 and above,true,Title,Default Title,,,,,"",0,,1,deny,manual,450.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/11412325_1608730599416330_1465722605338776048_n.jpg?v=1437200201,,false,,,,,,,,,,,,,,,,,kg
tf102,SB100,"",Warm Wishes Florist ,Surprise Bloom Box,Toys,true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0920/9480/products/1907509_1597982057157851_3217339128910389123_n.jpg?v=1437194775,,false,,,,,,,,,,,,,,,,,kg
