id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
WWF06526_6528,"Only","Fresh Flowers | Same Day Delivery",https://warmwishesflorist.com/wp-content/uploads/2018/01/22555527_1997716303851089_1923826703416147753_o.jpg,https://warmwishesflorist.com/shop/only/?attribute_pa_stalks=60-stalks,"Valentine's Day","Warm Wishes Florist",658MYR,in stock,WWF06526_6526,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,658MYR,new,published,,,,,984,,"stalks:60 stalks/99 stalks/30 stalks/40 stalks:60 stalks"
WWF06522_6524,"Eternal","Fresh Flowers | Same Day Delivery",https://warmwishesflorist.com/wp-content/uploads/2020/08/87408c12-61e6-4b7e-b616-f8a564a5a34c.jpg,https://warmwishesflorist.com/shop/eternal/?attribute_pa_stalks=99-stalks,"Hand Bouquets, Occasions, Annivesary, Birthday, Proposal","Warm Wishes Florist",550MYR,in stock,WWF06522_6522,,"https://warmwishesflorist.com/wp-content/uploads/2020/08/0ac0939e-3f5f-4456-a344-e69c5a93454f.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,550MYR,new,published,,,,,984,,"stalks:60 stalks/99 stalks:99 stalks"
WWF06522_6523,"Eternal","Fresh Flowers | Same Day Delivery",https://warmwishesflorist.com/wp-content/uploads/2020/08/87408c12-61e6-4b7e-b616-f8a564a5a34c.jpg,https://warmwishesflorist.com/shop/eternal/?attribute_pa_stalks=60-stalks,"Hand Bouquets, Occasions, Annivesary, Birthday, Proposal","Warm Wishes Florist",390MYR,in stock,WWF06522_6522,,"https://warmwishesflorist.com/wp-content/uploads/2020/08/0ac0939e-3f5f-4456-a344-e69c5a93454f.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,390MYR,new,published,,,,,984,,"stalks:60 stalks/99 stalks:60 stalks"
WWF06518_6518,"Laura","Exquisite bouquet top off with eucalyptus.",https://warmwishesflorist.com/wp-content/uploads/2018/01/26841114_2038909939731725_1806269159837023339_o.jpg,https://warmwishesflorist.com/shop/laura-2/,"Hand Bouquets, Annivesary, Birthday, Graduation","Warm Wishes Florist",160MYR,in stock,WWF06518_6518,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,160MYR,new,published,,,,,984,,
WWF07092_7094,"Kaylee","Fresh Flowers | Same Day Delivery",https://warmwishesflorist.com/wp-content/uploads/2018/01/27073403_2045384352417617_6639815547435661427_n.jpg,https://warmwishesflorist.com/shop/kaylee-2/?attribute_options=Hot+Air+Balloon+%2B+Medium+Silver+Bunny,"Bloom Box, Jellycat Collections, Occasions, Annivesary, Birthday","Warm Wishes Florist",358MYR,in stock,WWF07092_7092,,"https://warmwishesflorist.com/wp-content/uploads/2018/01/BAS3BTP.jpg,https://warmwishesflorist.com/wp-content/uploads/2018/01/Bashful_GreyBunnyM.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,358MYR,new,published,,,,,984,,"options:Hot Air Balloon/Hot Air Balloon + Medium Tulip Bunny/Hot Air Balloon + Medium Silver Bunny:Hot Air Balloon   Medium Silver Bunny"
WWF07092_7095,"Kaylee","Fresh Flowers | Same Day Delivery",https://warmwishesflorist.com/wp-content/uploads/2018/01/27073403_2045384352417617_6639815547435661427_n.jpg,https://warmwishesflorist.com/shop/kaylee-2/?attribute_options=Hot+Air+Balloon+%2B+Medium+Tulip+Bunny,"Bloom Box, Jellycat Collections, Occasions, Annivesary, Birthday","Warm Wishes Florist",358MYR,in stock,WWF07092_7092,,"https://warmwishesflorist.com/wp-content/uploads/2018/01/BAS3BTP.jpg,https://warmwishesflorist.com/wp-content/uploads/2018/01/Bashful_GreyBunnyM.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,358MYR,new,published,,,,,984,,"options:Hot Air Balloon/Hot Air Balloon + Medium Tulip Bunny/Hot Air Balloon + Medium Silver Bunny:Hot Air Balloon   Medium Tulip Bunny"
WWF07092_7093,"Kaylee","Fresh Flowers | Same Day Delivery",https://warmwishesflorist.com/wp-content/uploads/2018/01/27073403_2045384352417617_6639815547435661427_n.jpg,https://warmwishesflorist.com/shop/kaylee-2/?attribute_options=Hot+Air+Balloon,"Bloom Box, Jellycat Collections, Occasions, Annivesary, Birthday","Warm Wishes Florist",238MYR,in stock,WWF07092_7092,,"https://warmwishesflorist.com/wp-content/uploads/2018/01/BAS3BTP.jpg,https://warmwishesflorist.com/wp-content/uploads/2018/01/Bashful_GreyBunnyM.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,238MYR,new,published,,,,,984,,"options:Hot Air Balloon/Hot Air Balloon + Medium Tulip Bunny/Hot Air Balloon + Medium Silver Bunny:Hot Air Balloon"
WWF06500_6500,"Lloyd","Heart shaped pastel bouquet",https://warmwishesflorist.com/wp-content/uploads/2017/11/23119943_10155083091197654_7654921504803605070_o.jpg,https://warmwishesflorist.com/shop/lloyd-2/,"Hand Bouquets, Annivesary, Birthday, Proposal","Warm Wishes Florist",330MYR,in stock,WWF06500_6500,,"https://warmwishesflorist.com/wp-content/uploads/2018/01/23847235_2010937889195597_7083720543129217065_o.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,330MYR,new,published,,,,,984,,
WWF06450_6450,"Melody","1 hydrangea with 10 roses accompanied by caspia and babys breath",https://warmwishesflorist.com/wp-content/uploads/2018/01/IMG_0077.jpg,https://warmwishesflorist.com/shop/melody/,"Uncategorized","Warm Wishes Florist",280MYR,in stock,WWF06450_6450,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,280MYR,new,published,,,,,984,,
WWF06349_6349,"Violet (Giant)","Our human sized bouquet in purple theme, it definitely touch her heart and steal everyone's attention.",https://warmwishesflorist.com/wp-content/uploads/2017/12/25300024_2021151411507578_7003163646244474525_o.jpg,https://warmwishesflorist.com/shop/violet-giant/,"Uncategorized","Warm Wishes Florist",680MYR,in stock,WWF06349_6349,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,680MYR,new,published,,,,,984,,
